Name	ShapeQuery	Rank	TanimotoCombo	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTverskyRefColorTversky	ScaledColor	ComboScore	ColorScore	Overlap
1jlb_NVP_1_ligand	6ooz_ligand	1	 0.747	 0.601	 0.145	 1.142	 0.857	 0.286	 0.897	 0.669	 0.228	 0.226	 0.827	-2.030	785.335
1jlc_FTC_1_ligand	6ooz_ligand	1	 0.861	 0.600	 0.261	 1.256	 0.818	 0.437	 1.085	 0.692	 0.393	 0.391	 0.991	-3.519	815.466
1jlf_NVP_1_ligand	6ooz_ligand	1	 0.746	 0.521	 0.225	 1.186	 0.773	 0.414	 0.945	 0.615	 0.330	 0.326	 0.847	-2.938	723.191
1jlg_UC1_1_ligand	6ooz_ligand	1	 0.856	 0.628	 0.228	 1.283	 0.864	 0.419	 1.031	 0.697	 0.334	 0.330	 0.958	-2.972	819.267
1jlq_SBN_1_ligand	6ooz_ligand	1	 0.794	 0.577	 0.217	 1.262	 0.861	 0.402	 0.957	 0.636	 0.320	 0.317	 0.894	-2.851	745.347
1klm_SPP_1_ligand	6ooz_ligand	1	 0.563	 0.402	 0.161	 0.772	 0.527	 0.245	 0.947	 0.629	 0.318	 0.323	 0.725	-2.907	755.912
1lw0_NVP_1_ligand	6ooz_ligand	1	 0.763	 0.537	 0.227	 1.199	 0.782	 0.416	 0.963	 0.631	 0.332	 0.328	 0.865	-2.955	742.225
1lw2_U05_1_ligand	6ooz_ligand	1	 0.723	 0.526	 0.197	 1.116	 0.746	 0.371	 0.936	 0.641	 0.296	 0.292	 0.818	-2.631	755.491
1lwc_NVP_1_ligand	6ooz_ligand	1	 0.757	 0.532	 0.225	 1.193	 0.779	 0.414	 0.957	 0.627	 0.330	 0.327	 0.859	-2.941	736.993
1lwe_NVP_1_ligand	6ooz_ligand	1	 0.755	 0.527	 0.227	 1.192	 0.774	 0.418	 0.956	 0.623	 0.333	 0.329	 0.857	-2.965	732.099
1lwf_NVP_1_ligand	6ooz_ligand	1	 0.748	 0.522	 0.227	 1.184	 0.767	 0.417	 0.952	 0.619	 0.332	 0.329	 0.850	-2.959	728.439
1rev_TB9_1_ligand	6ooz_ligand	1	 0.704	 0.578	 0.126	 1.044	 0.820	 0.224	 0.886	 0.662	 0.224	 0.224	 0.802	-2.014	778.672
1rt1_MKC_1_ligand	6ooz_ligand	1	 0.764	 0.625	 0.138	 1.119	 0.844	 0.274	 0.925	 0.706	 0.219	 0.216	 0.841	-1.946	832.080
1rt2_TNK_1_ligand	6ooz_ligand	1	 0.718	 0.504	 0.214	 1.033	 0.661	 0.372	 1.014	 0.679	 0.334	 0.332	 0.836	-2.992	808.470
1rt3_U05_1_ligand	6ooz_ligand	1	 0.744	 0.482	 0.261	 1.161	 0.694	 0.467	 0.985	 0.613	 0.373	 0.368	 0.851	-3.316	723.793
1rt4_UC1_1_ligand	6ooz_ligand	1	 0.868	 0.582	 0.286	 1.321	 0.820	 0.501	 1.068	 0.668	 0.400	 0.395	 0.978	-3.559	785.746
